"No.","Time","Source","Destination","Protocol","Length","Info"
"445","12.414147","104.44.200.250","192.168.10.162","CLASSIC-STUN","137","Message: Data Indication"
"446","12.414147","104.44.200.250","192.168.10.162","CLASSIC-STUN","143","Message: Data Indication"
"447","12.414147","104.44.200.250","192.168.10.162","CLASSIC-STUN","134","Message: Data Indication"
"448","12.414148","104.44.200.250","192.168.10.162","CLASSIC-STUN","146","Message: Data Indication"
"449","12.414148","104.44.200.250","192.168.10.162","CLASSIC-STUN","145","Message: Data Indication"
"450","12.414148","104.44.200.250","192.168.10.162","CLASSIC-STUN","147","Message: Data Indication"
"452","12.415796","104.44.200.250","192.168.10.162","CLASSIC-STUN","146","Message: Data Indication"
"453","12.415796","104.44.200.250","192.168.10.162","CLASSIC-STUN","156","Message: Data Indication"
"454","12.415796","104.44.200.250","192.168.10.162","CLASSIC-STUN","142","Message: Data Indication"
"455","12.415796","104.44.200.250","192.168.10.162","CLASSIC-STUN","142","Message: Data Indication"
"456","12.415797","104.44.200.250","192.168.10.162","CLASSIC-STUN","139","Message: Data Indication"
"457","12.415797","104.44.200.250","192.168.10.162","CLASSIC-STUN","139","Message: Data Indication"
"458","12.415797","104.44.200.250","192.168.10.162","CLASSIC-STUN","140","Message: Data Indication"
"459","12.415797","104.44.200.250","192.168.10.162","CLASSIC-STUN","142","Message: Data Indication"
"460","12.415797","104.44.200.250","192.168.10.162","CLASSIC-STUN","141","Message: Data Indication"
"461","12.415797","104.44.200.250","192.168.10.162","CLASSIC-STUN","156","Message: Data Indication"
"462","12.415798","104.44.200.250","192.168.10.162","CLASSIC-STUN","147","Message: Data Indication"
"463","12.415798","104.44.200.250","192.168.10.162","CLASSIC-STUN","146","Message: Data Indication"
"466","12.455853","104.44.200.250","192.168.10.162","CLASSIC-STUN","144","Message: Data Indication"
"467","12.463296","104.44.200.250","192.168.10.162","CLASSIC-STUN","140","Message: Data Indication"
"468","12.463297","104.44.200.250","192.168.10.162","CLASSIC-STUN","146","Message: Data Indication"
"475","12.513437","104.44.200.250","192.168.10.162","CLASSIC-STUN","143","Message: Data Indication"
"476","12.513438","104.44.200.250","192.168.10.162","CLASSIC-STUN","148","Message: Data Indication"
"483","12.549539","104.44.200.250","192.168.10.162","CLASSIC-STUN","157","Message: Data Indication"
"484","12.549539","104.44.200.250","192.168.10.162","CLASSIC-STUN","147","Message: Data Indication"
"485","12.549539","104.44.200.250","192.168.10.162","CLASSIC-STUN","146","Message: Data Indication"
"494","12.599307","104.44.200.250","192.168.10.162","CLASSIC-STUN","144","Message: Data Indication"
"495","12.599309","104.44.200.250","192.168.10.162","CLASSIC-STUN","145","Message: Data Indication"
"497","12.620167","104.44.200.250","192.168.10.162","CLASSIC-STUN","147","Message: Data Indication"
"499","12.631908","104.44.200.242","192.168.10.162","STUN","130","Binding Success Response XOR-MAPPED-ADDRESS: 88.201.137.108:1040"
"500","12.644464","104.44.200.242","192.168.10.162","UDP","103","3480  >  35920 Len=61"
"502","12.648621","104.44.200.242","192.168.10.162","UDP","102","3480  >  35920 Len=60"
